Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,1000uf,
"C2, C3",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,100nf,
CON1,JST_Connector_Footprint,1,Male Connector,
CON2,JST_Connector_Footprint,1,Femail Connector,
L1,PinHeader_1x02_P2.54mm_Vertical,1,Yellow LED,
L2,PinHeader_1x02_P2.54mm_Vertical,1,Green LED,
L3,PinHeader_1x02_P2.54mm_Vertical,1,Power LED,
P1,Power_Connection_Footprint,1,USB Power,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,220,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,330,
"R4, R5, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,4k7,
RTC1,RTC_Module_Footprint,1,Real Time Clock,
U1,I2C_Level_Shifter,1,I2C Level Shifter,
U2,PinHeader_1x05_P2.54mm_Vertical,1,ESP32,
U3,PinHeader_1x05_P2.54mm_Vertical,1,ESP32 Signals,
U4,PinHeader_1x06_P2.54mm_Vertical,1,Controls,
