Designator,Mid X,Mid Y,Rotation,Layer
C1,90.75,-103.5,180.0,top
C2,76.0,-108.5,180.0,top
C3,71.0,-71.5,0.0,top
CON1,97.5,-72.81,0.0,top
CON2,93.5,-72.77,0.0,top
L1,61.0,-113.77,0.0,top
L2,60.5,-106.995,0.0,top
L3,97.5,-58.505,180.0,top
P1,98.5,-106.77,0.0,top
R1,65.0,-99.5,90.0,top
R2,60.5,-97.23,90.0,top
R3,94.0,-60.5,90.0,top
R4,69.5,-83.0,270.0,top
R5,66.0,-83.0,90.0,top
R6,75.23,-101.0,180.0,top
R7,75.23,-97.5,180.0,top
RTC1,77.842183,-116.094746,0.0,top
U1,77.475674,-86.510232,90.0,top
U2,75.96,-68.0,90.0,top
U3,56.0,-74.0,0.0,top
U4,87.77,-49.5,90.0,top
